gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,TotalSpend,avg_monthly_spend,total_services,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_Mid,tenure_group_Loyal,MonthlyCharges_group_Medium,MonthlyCharges_group_High
0,0,1,0,1,0,1,29.85,29.85,0,29.85,14.925,1,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
1,0,0,0,34,1,0,56.95,1889.5,0,1936.3000000000002,53.98571428571429,2,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False
1,0,0,0,2,1,1,53.85,108.15,1,107.7,36.050000000000004,2,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False
1,0,0,0,45,0,0,42.3,1840.75,0,1903.4999999999998,40.016304347826086,3,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,True,False
0,0,0,0,2,1,1,70.7,151.65,1,141.4,50.550000000000004,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
0,0,0,0,8,1,1,99.65,820.5,1,797.2,91.16666666666667,3,False,True,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True
1,0,0,1,22,1,1,89.1,1949.4,0,1960.1999999999998,84.75652173913043,2,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True
0,0,0,0,10,0,0,29.75,301.9,0,297.5,27.44545454545454,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,0,1,0,28,1,1,104.8,3046.05,1,2934.4,105.03620689655173,4,False,True,True,False,False,False,True,True,True,True,False,False,False,True,False,True,False,False,True
1,0,0,1,62,1,0,56.15,3487.95,0,3481.2999999999997,55.364285714285714,2,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False
1,0,1,1,13,1,1,49.95,587.45,0,649.35,41.96071428571429,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False
1,0,0,0,16,1,0,18.95,326.8,0,303.2,19.223529411764705,0,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
1,0,1,0,58,1,0,100.35,5681.1,0,5820.299999999999,96.28983050847458,3,False,True,True,False,False,False,True,False,True,True,True,False,True,False,False,False,True,False,True
1,0,0,0,49,1,1,103.7,5036.3,1,5081.3,100.726,4,False,True,True,False,False,True,True,False,True,True,False,False,False,False,False,False,True,False,True
1,0,0,0,25,1,1,105.5,2686.05,0,2637.5,103.3096153846154,5,False,False,True,False,True,False,True,True,True,True,False,False,False,True,False,True,False,False,True
0,0,1,1,69,1,0,113.25,7895.15,0,7814.25,112.78785714285713,6,False,True,True,False,True,True,True,True,True,True,False,True,True,False,False,False,True,False,True
